Booking ID,Booking Date,Trip Start Date,Trip End Date,Lead Time,Aircraft_hash,Trip Type,Origin,Aircraft Type,Manufacturer,Size,Customer_hash,Price,Salesperson_hash,Flight Time,Flight Distance,Passengers,Itinerary,Starting ICAO,Ending ICAO,Customer Segment,Trip Class,Trip Category,Status
ENTEQ6,10/21/2022,11/6/2022,11/10/2022,15.0,6a0c7aa40319afd851873298f9427de53587ad795e9f2bbfcdd10168775b0da5,Charter | 135,EMAIL,Hawker 900XP,Beechcraft,Mid-Size,e1d345ac1acd0fb007ddfd8cc553484081e02166892c70a7e41a4d5b666bd874,85227.33,26a09284d375ce135afdc120f87fdfeb8a9f6c34896927f39102fdd75e5b1989,14.08333333,5320.0,1.0,KTIW/KPSP/CYYZ/KPSP/KTIW,KTIW,KTIW,New Retail,One way trip,International,Booked
UZSAB,5/25/2022,6/13/2022,6/15/2022,19.0,6a0c7aa40319afd851873298f9427de53587ad795e9f2bbfcdd10168775b0da5,Charter | 135,EMAIL,Hawker 900XP,Beechcraft,Mid-Size,ea3f07fe0ea4d8bf122af6fc83c63eac7c2f2bc9c39c554e8610718191c0f7ac,52409.0,b53d8f4d7c9bf9814f243122f72a558f4b96cea969292403bcb344bf8a8abfdb,8.85,3300.0,1.0,KTIW/KPSC/KHOU/KPSC/KTIW,KTIW,KTIW,Wholesale,One way trip,Domestic,Booked
MOEFJ1,1/20/2023,2/8/2023,2/8/2023,18.0,6a0c7aa40319afd851873298f9427de53587ad795e9f2bbfcdd10168775b0da5,Charter | 135,EMAIL,Hawker 900XP,Beechcraft,Mid-Size,c5d957280d38430652f2ba6ce426c913d4e88e1ea71a249a3e86bd6f50a7887d,31495.0,8009e22925d6e90622a77c154794cf2dfc2f6f5c4b0f9daa461fb5e2347ad1c2,4.983333333,1734.0,2.0,KTIW/KPSP/KBFI/KTIW,KTIW,KTIW,New Retail,One way trip,Domestic,Booked
WEDUN3,11/23/2021,2/23/2022,2/27/2022,91.0,6a0c7aa40319afd851873298f9427de53587ad795e9f2bbfcdd10168775b0da5,Charter | 135,EMAIL,Hawker 900XP,Beechcraft,Mid-Size,839db22a18bd8265fa65973408cc164e9d9a2e73515fe94c69f2cc7e979eb104,59581.0,8009e22925d6e90622a77c154794cf2dfc2f6f5c4b0f9daa461fb5e2347ad1c2,8.616666667,3216.0,5.0,KTIW/KSNA/MMSD/KSDM/KSNA/KTIW,KTIW,KTIW,New Retail,One way trip,International,Booked
WEDUN5,11/4/2021,2/23/2022,2/28/2022,111.0,6a0c7aa40319afd851873298f9427de53587ad795e9f2bbfcdd10168775b0da5,Charter | 135,EMAIL,Hawker 900XP,Beechcraft,Mid-Size,839db22a18bd8265fa65973408cc164e9d9a2e73515fe94c69f2cc7e979eb104,59581.0,8009e22925d6e90622a77c154794cf2dfc2f6f5c4b0f9daa461fb5e2347ad1c2,0.0,3216.0,5.0,,,,New Retail,One way trip,International,Cancelled
ZUPUT,12/1/2022,12/2/2022,12/3/2022,1.0,aff49fcb3654a7a61fc62c47902f2cf83efe707ded282b23ed481871c7c03ee9,Subcharter | 135,EMAIL,Hawker 900XP,Beechcraft,Mid-Size,c81460861833d6103789f52335454cec4d0aa6cac7aa57f26f692f63088c0f8a,15422.33,97889ba44345174cfa08d75ac8d0f21b042a64d732e6f0037c17a65ad1586ac2,1.8,398.0,3.0,KVNY/KLAS/KVNY,KVNY,KVNY,Key Account,,Domestic,Booked
UGIKN,12/13/2021,1/2/2022,1/2/2022,20.0,6a0c7aa40319afd851873298f9427de53587ad795e9f2bbfcdd10168775b0da5,Charter | 135,EMAIL,Hawker 900XP,Beechcraft,Mid-Size,f5f72304206912e819ec0c84da2f568b8fc36e8e66129262b3277fea3d77b9a9,25660.0,8009e22925d6e90622a77c154794cf2dfc2f6f5c4b0f9daa461fb5e2347ad1c2,0.0,1734.0,5.0,,,,New Retail,One way trip,Domestic,Cancelled
TAEDH1,6/21/2021,1/2/2022,1/5/2022,195.0,64ec2bee2b64ea2d0e24c6a72d72b4358d6b4338c07ef75d7e081c679392f358,Charter | 135,EMAIL,Gulfstream 550,Gulfstream,Large,9f74c59b314487690a3cf1cb30ca9cee252b2633380a674616361e792157f1d2,73060.0,8a3ce970f53de874df6ea68097443422fa78c04edab53c9f7824e2ed50700e9d,15.58333333,6948.0,13.0,KVNY/KLAX/PHOG/KVNY,KVNY,KVNY,New Retail,One way trip,Domestic,Booked
HAAPQ,2/3/2022,3/4/2022,3/14/2022,29.0,64ec2bee2b64ea2d0e24c6a72d72b4358d6b4338c07ef75d7e081c679392f358,Charter | 135,EMAIL,Gulfstream 550,Gulfstream,Large,cd0e59d483d1debc44115e1b827401553e54d850260e4abc57acd78ddc5fbf41,286724.54,97889ba44345174cfa08d75ac8d0f21b042a64d732e6f0037c17a65ad1586ac2,26.63333333,11544.0,5.0,KVNY/KBOS/LOWW/KBOS/KVNY,KVNY,KVNY,Wholesale,Roundtrip,International,Booked
EVOLB1,11/15/2021,1/1/2022,1/3/2022,47.0,64ec2bee2b64ea2d0e24c6a72d72b4358d6b4338c07ef75d7e081c679392f358,Charter | 135,EMAIL,Gulfstream 550,Gulfstream,Large,cef8d437553fb6d792188f806d5f92b85857a28b1b610a540c79ec99e5071588,105286.0,8a3ce970f53de874df6ea68097443422fa78c04edab53c9f7824e2ed50700e9d,0.0,4314.0,13.0,,,,Key Account,Roundtrip,Domestic,Cancelled
OXUGJ,2/3/2022,6/21/2022,6/25/2022,138.0,ce8be4b856ae5777237a0d5a1e8cd826bade69ab220c033c07f955ebfe56b013,Charter | 135,EMAIL,Gulfstream 550,Gulfstream,Large,cd0e59d483d1debc44115e1b827401553e54d850260e4abc57acd78ddc5fbf41,96584.0,97889ba44345174cfa08d75ac8d0f21b042a64d732e6f0037c17a65ad1586ac2,8.883333333,3964.0,6.0,KVNY/KIAD/KVNY,KVNY,KVNY,Wholesale,Roundtrip,Domestic,Booked
JAURU,1/24/2022,8/18/2022,8/21/2022,206.0,64ec2bee2b64ea2d0e24c6a72d72b4358d6b4338c07ef75d7e081c679392f358,Charter | 135,EMAIL,Gulfstream 550,Gulfstream,Large,cd0e59d483d1debc44115e1b827401553e54d850260e4abc57acd78ddc5fbf41,104283.0,97889ba44345174cfa08d75ac8d0f21b042a64d732e6f0037c17a65ad1586ac2,10.05,4318.0,5.0,KVNY/KPSF/KVNY,KVNY,KVNY,Wholesale,Roundtrip,Domestic,Booked
PUKUF3,12/13/2021,1/6/2022,1/7/2022,23.0,64ec2bee2b64ea2d0e24c6a72d72b4358d6b4338c07ef75d7e081c679392f358,Charter | 135,EMAIL,Gulfstream 550,Gulfstream,Large,e817503fb04ef6560f770e8cb2ae858bbc98e5d24989c5a7b671423edae96fe8,150447.0,cef04dbe25feac1a0dff92d1fda41d357e3621e9153312efba9b7c871df17c30,15.28333333,6710.0,8.0,KVNY/TGPY/KVNY,KVNY,KVNY,Key Account,Roundtrip,International,Booked
DOUSS,11/30/2021,2/26/2022,2/27/2022,88.0,64ec2bee2b64ea2d0e24c6a72d72b4358d6b4338c07ef75d7e081c679392f358,Charter | 135,EMAIL,Gulfstream 550,Gulfstream,Large,be41d8aaeead495fca5d6988897e925b204f3eba80df780be1560c5177da8818,38904.0,8a3ce970f53de874df6ea68097443422fa78c04edab53c9f7824e2ed50700e9d,0.0,652.0,14.0,,,,Key Account,Roundtrip,Domestic,Cancelled
TUTAW,5/31/2021,6/1/2021,6/2/2021,1.0,a4a2be28d2ec87be1e6864761e4d42088fce884c27d9d6cfda6e0fcf37476de4,Charter | 135,EMAIL,Falcon 900,Dassault,Large,e8261b03fc95557265a215d408bfa582883aa35f9d9ae9c5cff9f6b341c1ac88,65944.0,b53d8f4d7c9bf9814f243122f72a558f4b96cea969292403bcb344bf8a8abfdb,7.833333333,2950.0,3.0,KVNY/MMMY/KBRO/KSFO,KVNY,KSFO,,,,Booked
IQETO,6/1/2021,6/2/2021,6/2/2021,1.0,a4a2be28d2ec87be1e6864761e4d42088fce884c27d9d6cfda6e0fcf37476de4,Charter | 135,EMAIL,Falcon 900,Dassault,Large,0d7aca2a56dcc91603b2471944a5ea79bfba5187d56f834716142866e2c699be,12854.0,8a3ce970f53de874df6ea68097443422fa78c04edab53c9f7824e2ed50700e9d,0.883333333,278.0,1.0,KSFO/KVNY,KSFO,KVNY,,,,Booked
ATKIV,11/10/2021,3/16/2022,3/22/2022,126.0,043e504a4fa68e9d16e35055beea24aa29a0646187b33133eb6a4de213104512,Charter | 135,EMAIL,Falcon 900,Dassault,Large,29ffa3fc506f0515d45e8bdc3589aab02cbb474bf53a8c7576d578e4c6cca351,115273.0,8a3ce970f53de874df6ea68097443422fa78c04edab53c9f7824e2ed50700e9d,0.0,6198.0,12.0,,,,Key Account,Roundtrip,International,Cancelled
ESSOH,4/12/2021,4/2/2021,4/2/2021,-9.0,043e504a4fa68e9d16e35055beea24aa29a0646187b33133eb6a4de213104512,Charter | 135,EMAIL,Falcon 900,Dassault,Large,b0afabbc4c32115ab1366cfd89f8385ec4e7badab1c8196234a8f68dbbb72e71,25830.0,980221ebd7b0cd417ac42dc2456b58eb9629d52be31386f568a4d070eebf3d30,1.783333333,634.0,7.0,KASE/KVNY,KASE,KVNY,,,,Booked
AVNUX4,2/15/2022,4/6/2022,4/8/2022,50.0,a4a2be28d2ec87be1e6864761e4d42088fce884c27d9d6cfda6e0fcf37476de4,Charter | 135,EMAIL,Falcon 900,Dassault,Large,d71856e890cb39d55470bddc3ca910371e7032bb217e97e9cd31be1e303f2163,75479.0,77860aa3545c35b2a1caaa53f0802599dca0498bcccebb930ec388652f4ec41e,10.28333333,3667.0,10.0,KVNY/KDAL/KHQU/KAGS/KDAL/KVNY,KVNY,KVNY,New Retail,Roundtrip,Domestic,Booked
UDIVR,7/25/2021,7/24/2021,7/24/2021,-1.0,043e504a4fa68e9d16e35055beea24aa29a0646187b33133eb6a4de213104512,Charter | 135,EMAIL,Falcon 900,Dassault,Large,c80b041f5d1d11574f40bd79c2ea8f64cfc47a49c6b8846abed3c294931a7946,34660.0,5ffbf8ba71921b90e37678fc08b6123f21b28ce01d4569f5faf71ce0f15af78c,5.116666667,2173.0,5.0,KVNY/PHKO,KVNY,PHKO,,,,Booked
FEWIE2,12/7/2021,1/7/2022,1/8/2022,31.0,043e504a4fa68e9d16e35055beea24aa29a0646187b33133eb6a4de213104512,Charter | 135,EMAIL,Falcon 900,Dassault,Large,5ea90be76c09ca533c3204cce7abf05ba3eff544a7860e6830e5e5e94483d67b,54482.0,c43237bab3363d2fdac6698a860029282220ba6b6a9a692bdc8aaff9ce81d944,6.766666667,4647.0,2.0,KVNY/KSAN/PHOG/PHLI,KVNY,PHLI,New Retail,One way trip,Domestic,Booked
VOUYZ,12/17/2021,1/27/2022,1/31/2022,40.0,a4a2be28d2ec87be1e6864761e4d42088fce884c27d9d6cfda6e0fcf37476de4,Charter | 135,EMAIL,Falcon 900,Dassault,Large,6954cf8109905029018977dd0b0c127e2d43b4383d573a88c55648b1bb81b387,70600.0,97889ba44345174cfa08d75ac8d0f21b042a64d732e6f0037c17a65ad1586ac2,10.21666667,4508.0,6.0,KVNY/KBED/KVNY,KVNY,KVNY,New Retail,One way trip,Domestic,Booked
ZOOWS,10/20/2022,11/9/2022,11/14/2022,20.0,a4a2be28d2ec87be1e6864761e4d42088fce884c27d9d6cfda6e0fcf37476de4,Charter | 135,EMAIL,Falcon 900,Dassault,Large,150b2bfdd3514b2e6b648b8e0e74cbbe93436e77c0f3533057fe111b3a4a567b,141232.0,b53d8f4d7c9bf9814f243122f72a558f4b96cea969292403bcb344bf8a8abfdb,15.55,6314.0,9.0,KVNY/KBFI/PHKO/KBFI/KVNY,KVNY,KVNY,Wholesale,Roundtrip,Domestic,Booked
ERNIT,4/12/2021,11/1/2020,11/1/2020,-161.0,530da37ef03844782fd6f846f44a152a7d7807f18c7cd1f6e57379d3d2b98bbc,Charter | 135,EMAIL,Falcon 2000EX,Dassault,Super Mid-Size,8573e3266f94b3ba68f8030174f4c051a0aef646e570aae773370aa5bc3679cf,21883.0,de48d92e91bf8e4302a9a1d0cfd8a12156f18328e6cde97fd5a5f2c6fe74de83,3.516666667,1268.0,3.0,KVNY/KASE/KVNY,KVNY,KVNY,,,,Booked
NEIDM,7/30/2021,1/8/2022,1/9/2022,162.0,28f2af552451998ca6e15f95fdb4a1bb84db74092d5b9bd5a6e1affb0dc43809,Charter | 135,DISPATCH,Falcon 2000EX,Dassault,Super Mid-Size,1f7f48e9b79878fdba167bed293d84251b8780ffbbda8d1531808ea55886c4bd,38400.11,47cb1d67cdc07ff8e03deddfa90be6739ac863880f747cf11149f40c93b6babc,3.833333333,1722.0,4.0,KVNY/KBZN/KSJC,KVNY,KSJC,Wholesale,Roundtrip,Domestic,Booked
